from,moved
https://www.azion.com/pt-br/documentacao/produtos/edge-application/real-time-purge/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/real-time-purge/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/error-responses/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/error-responses/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/rules-engine/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/rules-engine/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/origins/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/origins/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/websocket/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/websocket/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/cache-settings/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/cache-settings/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/domains/mtls/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/domains/mtls/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/l2-caching/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/tiered-cache/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/primeiros-passos/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/primeiros-passos/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-caching/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/edge-cache/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/ddos-protection/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/ddos-protection/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/ddos-protection/ddos-mitigation/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/ddos-protection/ddos-mitigation/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/edge-functions/firewall/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/edge-functions/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/edge-functions-instances/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/edge-functions-instances/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/network-layer-protection/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/network-layer-protection/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/network-layer-protection/network-lists/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/network-layer-protection/network-lists/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/rules-engine/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/rules-engine/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/web-application-firewall/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/web-application-firewall/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/web-application-firewall/allowed-rules-customizadas/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/web-application-firewall/custom-allowed-rules/
